Matrix Size,C_N,C_L,C_B_128,C_B_256,C_B_512,Java_N,Java_L
600,0.237,0.073,,,,0.225,0.215
1000,1.148,0.327,,,,1.462,0.892
1400,3.928,1.236,,,,5.940,2.619
1800,9.184,2.668,,,,12.982,5.534
2200,16.999,5.178,,,,29.941,10.167
2600,30.096,8.233,,,,41.531,16.671
3000,49.794,13.651,,,,67.654,25.790
4096,,32.538,11.651,12.026,11.770,,70.366
6144,,111.263,39.736,41.119,40.765,,240.135
8192,,309.575,95.997,100.537,96.462,,574.531
10240,,621.477,188.789,196.159,190.343,,1264.377
