Matrix Size,C_N,C_L,C_B_128,C_B_256,C_B_512,Java_N,Java_L
600,44358140,54105603,,,,,
1000,179029640,252186552,,,,,
1400,433986101,687657350,,,,,
1800,1120889091,1386506206,,,,,
2200,2134764795,2541181203,,,,,
2600,5897546291,4094851186,,,,,
3000,17424101807,6269039772,,,,,
4096,,15927035304,160152,123577,62985,,
6144,,54425241033,493592,487107,235271,,
8192,,134881378456,1270676,1367008,598269,,
10240,,302443795632,2444507,2571423,1129940,,
